Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
The Human Resources Manager,http://www.boxofficemojo.com/movies/?id=hrmanager.htm,03/04/2011,Unrated,103,8528,9,64014,328974,392988
The Human Scale,http://www.boxofficemojo.com/movies/?id=humanscale.htm,10/18/2013,Unrated,83,null,3,6878,null,null
The Human Stain,http://www.boxofficemojo.com/movies/?id=humanstain.htm,10/31/2003,R,110,1034195,388,5381908,19481896,24863804
Human Traffic,http://www.boxofficemojo.com/movies/?id=humantraffic.htm,05/05/2000,R,84,26160,22,104257,null,null
Humanoids from the Deep,http://www.boxofficemojo.com/movies/?id=humanoidsfromthedeep.htm,1980,R,80,null,null,null,null,null
Humans Vs. Zombies,http://www.boxofficemojo.com/movies/?id=humansvszombies.htm,TBD,Not Yet Rated,91,null,null,null,null,null
Humble Pie,http://www.boxofficemojo.com/movies/?id=humblepie.htm,11/06/2009,PG-13,84,1083,2,3359,null,null
Humboldt County,http://www.boxofficemojo.com/movies/?id=humboldtcounty.htm,09/26/2008,R,97,25933,9,82357,null,null
Humko Deewana Kar Gaye,http://www.boxofficemojo.com/movies/?id=humkodeewanakargaye.htm,04/14/2006,Unrated,155,108630,39,250083,899334,1149417
Humpday,http://www.boxofficemojo.com/movies/?id=humpday.htm,07/10/2009,R,93,28737,27,407377,66603,473980
Humpty Sharma Ki Dulhania,http://www.boxofficemojo.com/movies/?id=humptysharma.htm,07/11/2014,Unrated,133,380011,101,380011,n/a,380011
Humsaath Hain,http://www.boxofficemojo.com/movies/?id=humsaathhain.htm,11/05/1999,Unrated,177,651575,69,2005094,null,null
The Hunchback of Notre Dame,http://www.boxofficemojo.com/movies/?id=hunchbackofnotredame.htm,06/21/1996,G,91,21037414,2835,100138851,225200000,325338851
The Hundred-Foot Journey,http://www.boxofficemojo.com/movies/?id=100foot.htm,08/08/2014,PG,122,10979290,2167,54240821,34640000,88880821
